epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.040600000000000025,6.832275249513293,0.001,0.284,1.5807280730166773
2,0.04586666666666669,4.02389493265099,0.001,0.35,1.5142974693425895
3,0.054099999999999995,3.9871635914210763,0.001,0.366,1.478154140846386
4,0.057366666666666684,3.9595855766220946,0.001,0.354,1.4844678987668734
5,0.0619666666666667,3.9451953036973153,0.001,0.368,1.5213454546567584
6,0.06363333333333335,3.9210350048321816,0.001,0.384,1.4403637289606828
7,0.06633333333333336,3.9059343033043272,0.001,0.398,1.4729314728815595
